time,lat,lon,CO,NO2,SO2,O3,PM10,PM25
2020-05-25 07:00:00+00:00,41.802222,-8.693889,,3.76,,44.0,,
2020-05-25 06:00:00+00:00,41.274167,-8.376111,,,,0.0,10.0,1.2
2020-05-25 09:00:00+00:00,40.756667,-8.572778,,7.52,5.24,24.0,21.0,6.0
2020-05-25 09:00:00+00:00,40.233056,-7.301944,,1.88,,40.0,19.0,5.0
2020-05-25 09:00:00+00:00,39.3525,-8.466111,,3.76,0.0,66.0,14.0,7.9
2020-05-25 08:00:00+00:00,39.278333,-9.245556,,3.76,,50.0,28.0,14.0
2020-05-25 09:00:00+00:00,38.635556,-8.690556,,3.76,5.24,60.0,28.0,13.5
2020-05-25 09:00:00+00:00,38.748611,-9.148889,,20.68,0.0,58.0,17.0,12.1
2020-05-25 09:00:00+00:00,38.768889,-9.108056,,11.28,0.0,62.0,21.0,9.6
2020-05-25 09:00:00+00:00,38.785,-9.347222,,5.64,0.0,58.0,31.0,11.7
2020-05-25 09:00:00+00:00,38.663611,-9.157778,,22.56,,50.0,20.0,12.0
2020-05-24 05:00:00+00:00,38.057617,-8.782126,,1.88,0.0,,,
2020-05-25 00:00:00+00:00,37.871111,-8.723889,,5.64,,68.0,27.0,10.0
2020-05-25 00:00:00+00:00,37.954167,-8.838056,,9.399999999999999,,,22.0,9.1
2020-05-25 00:00:00+00:00,38.615,-7.3975,,1.88,0.0,,9.0,4.0
2020-05-25 03:00:00+00:00,37.426635,-7.513898,,0.0,5.24,92.0,1.0,5.0
2020-05-25 08:00:00+00:00,37.015,-7.926667,,9.399999999999999,,80.0,91.0,7.6
2020-05-25 08:00:00+00:00,32.649722,-16.918333,,45.12,10.48,18.0,20.0,6.4
2020-05-25 08:00:00+00:00,32.648889,-16.883056,,77.08,,,12.0,3.3
2020-05-25 09:00:00+00:00,38.605,-28.631389,,1.88,0.0,58.0,4.0,
2020-05-25 08:00:00+00:00,32.807778,-16.886389,,1.88,,44.0,16.0,5.2
2020-05-25 11:00:00+00:00,42.509694,1.539138,,16.919999999999998,0.0,34.0,18.0,
2020-05-25 11:00:00+00:00,40.421389,-3.682222,0.0,24.439999999999998,5.24,72.0,30.0,14.0
2020-05-25 11:00:00+00:00,40.419167,-3.747222,0.0,11.28,2.62,72.0,22.0,11.0
2020-05-25 11:00:00+00:00,40.445278,-3.706944,,16.919999999999998,2.62,,32.0,17.8
2020-05-25 11:00:00+00:00,40.398056,-3.686667,,41.36,,,1.0,1.2
2020-05-25 11:00:00+00:00,40.439722,-3.690278,,13.16,,,24.0,12.0
2020-05-25 11:00:00+00:00,40.465556,-3.688611,,11.28,,,25.0,14.0
2020-05-25 09:00:00+00:00,40.384722,-3.718611,0.0,26.32,,,30.0,25.8
2020-05-25 09:00:00+00:00,40.416775,-3.70379,,,,,,
2020-05-25 09:00:00+00:00,42.997922,-7.550728,0.0,5.64,0.0,40.0,17.0,8.1
2020-05-25 09:00:00+00:00,42.353033,-7.877667,0.0,7.52,0.0,32.0,16.0,6.0
2020-05-25 09:00:00+00:00,43.0819,-1.9127,0.0,1.88,0.0,60.0,18.0,
2020-05-25 09:00:00+00:00,42.06146,-1.5993,0.0,5.64,5.24,54.0,22.0,6.0
2020-05-25 07:00:00+00:00,41.932778,-4.47,0.0,0.0,0.0,62.0,35.0,21.1
2020-05-25 08:00:00+00:00,41.948056,-4.465833,0.0,1.88,0.0,68.0,11.0,14.0
2020-05-25 08:00:00+00:00,41.645556,-4.730278,0.0,1.88,0.0,42.0,22.0,14.0
2020-05-25 08:00:00+00:00,41.63,-4.740556,0.0,9.399999999999999,2.62,42.0,23.0,15.9
2020-05-25 08:00:00+00:00,41.620556,-4.746667,0.0,15.04,2.62,66.0,25.0,15.9
2020-05-25 11:00:00+00:00,43.579167,-5.927222,0.0,11.28,0.0,56.0,51.0,10.0
2020-05-25 08:00:00+00:00,40.91028,-3.46667,0.0,1.88,0.0,60.0,12.0,2.1
2020-05-25 09:00:00+00:00,40.25194,-4.27472,0.0,5.64,0.0,74.0,18.0,5.0
2020-05-25 08:00:00+00:00,40.455,-3.48417,,52.64,,44.0,3.0,9.1
2020-05-25 09:00:00+00:00,40.59333,-3.50306,,1.88,,66.0,,44.8
2020-05-25 09:00:00+00:00,40.34194,-3.83389,,13.16,,60.0,,1.2
2020-05-25 09:00:00+00:00,40.63389,-4.01333,,11.28,0.0,60.0,,13.0
2020-05-25 09:00:00+00:00,40.16722,-3.27667,,3.76,,60.0,,6.0
2020-05-25 09:00:00+00:00,40.18528,-3.67972,,5.64,,62.0,,6.0
2020-05-24 09:00:00+00:00,39.67766,2.68665,,0.0,0.0,74.0,17.0,6.0
2020-05-24 10:00:00+00:00,39.57008,2.65583,0.0,3.76,0.0,74.0,29.0,
2020-05-24 10:00:00+00:00,39.83962,3.02705,,0.0,0.0,58.0,20.0,
2020-05-24 10:00:00+00:00,39.89092,4.252975,,0.0,0.0,66.0,19.0,
2020-05-24 10:00:00+00:00,40.00944,3.85648,,1.88,,72.0,4.0,
2020-05-24 10:00:00+00:00,38.91382,1.41426,,0.0,0.0,66.0,19.0,
2020-05-24 10:00:00+00:00,39.54588,2.69971,,1.88,0.0,72.0,28.0,
2020-05-24 10:00:00+00:00,38.99323,1.30894,,0.0,,74.0,14.0,
2020-05-24 10:00:00+00:00,39.56332,2.62055,,1.88,0.0,80.0,11.0,
2020-05-24 10:00:00+00:00,39.83379,3.1443,,0.0,0.0,72.0,19.0,
2020-05-24 10:00:00+00:00,39.78995,3.07413,,0.0,0.0,46.0,17.0,
2020-05-24 10:00:00+00:00,39.74731,3.01488,,0.0,0.0,68.0,21.0,
2020-05-24 10:00:00+00:00,38.93492,1.43181,,1.88,0.0,72.0,18.0,
2020-05-25 10:00:00+00:00,41.670278,-0.871111,114.5,18.799999999999997,,10.0,,
2020-05-25 10:00:00+00:00,41.635278,-0.893611,0.0,11.28,0.0,24.0,36.0,
2020-05-25 10:00:00+00:00,41.675,-0.886944,,7.52,,20.0,61.0,
2020-05-25 10:00:00+00:00,41.657648,-0.897883,114.5,18.799999999999997,0.0,30.0,4.0,
2020-05-25 11:00:00+00:00,43.516667,-5.670556,0.0,3.76,0.0,66.0,30.0,10.0
2020-05-25 11:00:00+00:00,43.256111,-5.775833,0.0,1.88,5.24,28.0,11.0,6.0
2020-05-25 12:00:00+00:00,43.275556,-5.596111,0.0,1.88,0.0,56.0,20.0,6.0
2020-05-25 12:00:00+00:00,37.976182,-1.230747,,1.88,2.62,82.0,12.0,
2020-05-25 12:00:00+00:00,37.689508,-1.70105,,5.64,10.48,58.0,103.0,
2020-05-25 12:00:00+00:00,37.99396,-1.144628,0.0,9.399999999999999,0.0,70.0,19.0,
2020-05-25 12:00:00+00:00,37.694224,-1.064626,,3.76,5.24,58.0,21.0,
2020-05-25 12:00:00+00:00,37.604871,-0.914045,,9.399999999999999,2.62,86.0,15.0,
2020-05-25 12:00:00+00:00,37.60339,-0.974903,0.0,1.88,2.62,76.0,22.0,
2020-05-25 12:00:00+00:00,37.574442,-0.926557,,18.799999999999997,7.86,72.0,21.0,
2020-05-25 12:00:00+00:00,38.114666,-1.868732,,5.64,,58.0,8.0,
2020-05-25 08:00:00+00:00,38.351111,-0.513889,0.0,3.76,0.0,80.0,10.0,3.1
2020-05-25 08:00:00+00:00,38.706389,-0.466944,0.0,5.64,0.0,50.0,,
2020-05-25 08:00:00+00:00,38.445,-0.806389,,3.76,2.62,68.0,10.0,4.0
2020-05-25 08:00:00+00:00,40.068056,-0.206944,0.0,5.64,2.62,62.0,27.0,5.0
2020-05-25 08:00:00+00:00,39.458056,-0.376667,0.0,18.799999999999997,2.62,46.0,15.0,8.1
2020-05-25 09:00:00+00:00,39.481111,-0.408333,0.0,5.64,2.62,48.0,15.0,8.1
2020-05-25 08:00:00+00:00,39.4575,-0.342778,0.0,9.399999999999999,2.62,50.0,14.0,4.0
2020-05-25 08:00:00+00:00,39.479722,-0.3375,0.0,7.52,2.62,46.0,61.0,7.2
2020-05-25 09:00:00+00:00,39.708056,-0.831944,0.0,3.76,0.0,60.0,22.0,8.1
2020-05-25 08:00:00+00:00,39.56,-1.282778,0.0,1.88,0.0,70.0,9.0,4.0
2020-05-25 09:00:00+00:00,39.632778,-0.266389,0.0,18.799999999999997,2.62,48.0,18.0,9.1
2020-05-25 09:00:00+00:00,39.708056,-0.831944,0.0,3.76,0.0,60.0,22.0,8.1
2020-05-25 09:00:00+00:00,40.011389,-0.057222,,7.52,,74.0,12.0,9.1
2020-05-25 09:00:00+00:00,39.782222,-0.359167,0.0,5.64,0.0,42.0,16.0,7.2
2020-05-25 09:00:00+00:00,39.945278,-0.056389,0.0,3.76,0.0,20.0,3.0,3.1
2020-05-25 08:00:00+00:00,39.892222,-0.065,0.0,5.64,2.62,58.0,6.0,3.1
2020-05-25 09:00:00+00:00,39.930556,-0.603333,0.0,3.76,0.0,34.0,14.0,6.0
2020-05-25 08:00:00+00:00,38.9375,-0.441944,,7.52,,66.0,,
2020-05-25 09:00:00+00:00,39.427222,-0.783889,0.0,3.76,2.62,62.0,10.0,7.2
2020-05-25 09:00:00+00:00,40.735,-0.169444,,1.88,5.24,40.0,7.0,5.0
2020-05-25 09:00:00+00:00,39.705278,-0.336667,0.0,5.64,0.0,50.0,14.0,6.0
2020-05-25 08:00:00+00:00,39.481111,-0.447222,0.0,11.28,2.62,46.0,2.0,1.2
2020-05-25 08:00:00+00:00,40.062222,-0.072778,0.0,0.0,0.0,74.0,6.0,3.1
2020-05-25 09:00:00+00:00,43.382786,-8.409211,0.0,0.0,0.0,68.0,41.0,13.0
2020-05-25 09:00:00+00:00,42.061626,-7.408726,0.0,0.0,0.0,48.0,21.0,5.0
2020-05-25 09:00:00+00:00,42.180661,-8.5226,229.0,3.76,0.0,46.0,24.0,15.9
2020-05-25 09:00:00+00:00,42.876011,-8.559122,0.0,7.52,0.0,68.0,25.0,14.0
2020-05-25 09:00:00+00:00,42.887759,-8.531091,0.0,15.04,2.62,46.0,24.0,7.2
2020-05-25 09:00:00+00:00,42.219002,-8.742058,114.5,20.68,0.0,48.0,38.0,15.9
2020-05-25 09:00:00+00:00,43.480659,-8.241543,0.0,1.88,0.0,60.0,30.0,9.1
2020-05-25 09:00:00+00:00,42.425931,-8.644105,0.0,3.76,0.0,28.0,18.0,11.0
2020-05-25 09:00:00+00:00,42.222449,-8.711088,229.0,24.439999999999998,0.0,34.0,28.0,15.9
2020-05-25 09:00:00+00:00,42.895635,-2.170814,0.0,5.64,0.0,56.0,16.0,
2020-05-25 08:00:00+00:00,42.314542,-1.801367,0.0,1.88,5.24,50.0,20.0,5.0
2020-05-25 09:00:00+00:00,42.481425,-1.650977,0.0,3.76,5.24,40.0,31.0,
2020-05-25 06:00:00+00:00,42.805135,-1.65368,0.0,28.2,0.0,20.0,15.0,
2020-05-25 09:00:00+00:00,42.789063,-1.616705,0.0,26.32,0.0,24.0,21.0,
2020-05-25 09:00:00+00:00,42.827353,-1.650601,0.0,20.68,0.0,20.0,19.0,
2020-05-25 09:00:00+00:00,42.574435,-1.283085,0.0,13.16,5.24,36.0,16.0,
2020-05-25 09:00:00+00:00,42.061382,-1.606317,0.0,7.52,5.24,50.0,23.0,5.0
2020-05-25 09:00:00+00:00,43.337535,-4.050512,0.0,5.64,0.0,48.0,16.0,
2020-05-25 10:00:00+00:00,43.372247,-4.040786,0.0,7.52,0.0,54.0,24.0,
2020-05-25 09:00:00+00:00,43.39723,-3.83013,0.0,11.28,0.0,34.0,39.0,
2020-05-25 10:00:00+00:00,43.458433,-3.822808,0.0,16.919999999999998,0.0,66.0,32.0,
2020-05-25 10:00:00+00:00,42.999529,-4.139262,0.0,1.88,0.0,66.0,20.0,
2020-05-25 10:00:00+00:00,43.154223,-4.254166,0.0,0.0,0.0,68.0,8.0,
2020-05-25 09:00:00+00:00,43.259776,-4.06699,0.0,1.88,0.0,56.0,22.0,
2020-05-25 10:00:00+00:00,43.368822,-3.215635,0.0,3.76,0.0,62.0,28.0,
2020-05-25 10:00:00+00:00,43.34885,-4.05015,0.0,3.76,0.0,54.0,38.0,
2020-05-25 09:00:00+00:00,43.406667,-3.883333,0.0,5.64,0.0,58.0,41.0,
2020-05-25 11:00:00+00:00,40.706707,0.581651,,9.399999999999999,,40.0,20.0,
2020-05-25 11:00:00+00:00,41.38534,2.153822,0.0,28.2,0.0,48.0,27.0,
2020-05-25 11:00:00+00:00,41.398743,2.153385,0.0,24.439999999999998,0.0,60.0,21.0,
2020-05-25 11:00:00+00:00,41.387486,2.11515,0.0,3.76,0.0,84.0,17.0,
2020-05-25 11:00:00+00:00,41.42608,2.147992,0.0,11.28,0.0,84.0,17.0,
2020-05-25 11:00:00+00:00,41.40388,2.204523,0.0,20.68,,58.0,22.0,
2020-05-25 11:00:00+00:00,41.95867,3.212901,0.0,1.88,0.0,82.0,12.0,
2020-05-25 11:00:00+00:00,42.368317,1.776783,0.0,0.0,0.0,50.0,10.0,
2020-05-25 11:00:00+00:00,42.09791,1.848237,0.0,3.76,0.0,66.0,15.0,
2020-05-25 10:00:00+00:00,41.202232,1.6722,,1.88,0.0,36.0,15.0,
2020-05-25 11:00:00+00:00,41.976387,2.816547,0.0,3.76,2.62,36.0,12.0,
2020-05-25 11:00:00+00:00,41.4698,2.184233,0.0,11.28,0.0,70.0,16.0,
2020-05-25 11:00:00+00:00,42.05132,0.729599,0.0,0.0,0.0,58.0,10.0,
2020-05-25 11:00:00+00:00,41.492085,2.042497,0.0,5.64,0.0,84.0,18.0,
2020-05-25 11:00:00+00:00,41.561176,2.101405,0.0,22.56,0.0,68.0,22.0,
2020-05-25 11:00:00+00:00,41.42562,2.222245,,5.64,,84.0,18.0,
2020-05-25 11:00:00+00:00,41.68905,2.495747,0.0,9.399999999999999,0.0,84.0,14.0,
2020-05-25 11:00:00+00:00,41.39216,2.009802,,5.64,0.0,32.0,12.0,
2020-05-25 10:00:00+00:00,41.526707,2.183795,0.0,9.399999999999999,0.0,60.0,21.0,
2020-05-25 11:00:00+00:00,42.40538,1.12993,,,,60.0,19.0,
2020-05-25 11:00:00+00:00,41.598667,2.287118,0.0,18.799999999999997,0.0,82.0,21.0,
2020-05-25 11:00:00+00:00,41.544106,0.829933,0.0,1.88,0.0,46.0,12.0,
2020-05-25 11:00:00+00:00,41.370502,2.114973,0.0,11.28,0.0,84.0,22.0,
2020-05-25 11:00:00+00:00,41.615795,0.615726,0.0,3.76,0.0,56.0,16.0,
2020-05-25 11:00:00+00:00,42.003277,2.287272,,3.76,0.0,66.0,21.0,
2020-05-25 11:00:00+00:00,41.73028,1.825306,0.0,15.04,0.0,72.0,18.0,
2020-05-25 10:00:00+00:00,41.475384,1.921202,0.0,7.52,,72.0,18.0,
2020-05-25 11:00:00+00:00,41.54716,2.443254,0.0,5.64,0.0,86.0,16.0,
2020-05-25 11:00:00+00:00,41.482018,2.188297,0.0,11.28,0.0,70.0,19.0,
2020-05-25 11:00:00+00:00,41.11588,1.191976,,33.839999999999996,0.0,46.0,10.0,
2020-05-25 11:00:00+00:00,41.556114,2.007401,0.0,20.68,0.0,66.0,20.0,
2020-05-25 11:00:00+00:00,41.935665,2.238568,,5.64,0.0,68.0,17.0,
2020-05-25 11:00:00+00:00,41.346825,1.686576,,3.76,,74.0,15.0,
2020-05-25 11:00:00+00:00,41.11209,1.151824,0.0,1.88,0.0,46.0,21.0,
2020-05-25 11:00:00+00:00,41.41843,2.123897,0.0,3.76,0.0,94.0,16.0,
2020-05-25 08:00:00+00:00,36.843816,-2.44745,0.0,16.919999999999998,2.62,60.0,9.0,
2020-05-25 08:00:00+00:00,36.773115,-2.810355,0.0,7.52,0.0,74.0,17.0,
2020-05-25 07:00:00+00:00,37.238362,-1.800444,,11.28,5.24,62.0,24.0,
2020-05-25 07:00:00+00:00,36.996946,-1.894651,,5.64,0.0,62.0,12.0,
2020-05-25 03:00:00+00:00,36.845894,-2.042628,343.5,1.88,2.62,86.0,10.0,
2020-05-25 08:00:00+00:00,37.190395,-1.981424,0.0,1.88,2.62,86.0,11.0,
2020-05-25 08:00:00+00:00,36.912881,-2.066294,343.5,3.76,2.62,50.0,10.0,
2020-05-25 08:00:00+00:00,37.140279,-1.850733,,15.04,2.62,60.0,10.0,
2020-05-25 08:00:00+00:00,36.168256,-5.349472,801.5,1.88,0.0,66.0,10.0,
2020-05-25 08:00:00+00:00,36.185065,-5.492557,229.0,5.64,7.86,114.0,14.0,
2020-05-25 08:00:00+00:00,36.175,-5.433333,572.5,9.399999999999999,5.24,46.0,33.0,
2020-05-25 07:00:00+00:00,36.210462,-5.384432,0.0,3.76,2.62,58.0,23.0,
2020-05-12 05:00:00+00:00,36.508232,-6.27548,1030.5,3.76,5.24,60.0,17.0,
2020-05-25 08:00:00+00:00,36.523541,-6.225865,1030.5,3.76,5.24,74.0,29.0,
2020-05-25 06:00:00+00:00,36.471865,-6.196595,916.0,1.88,0.0,76.0,6.0,
2020-05-25 08:00:00+00:00,36.680721,-6.128306,0.0,3.76,5.24,76.0,19.0,
2015-09-02 23:00:00+00:00,36.680721,-6.128306,,5.64,5.24,,24.0,
2020-05-25 08:00:00+00:00,36.140759,-5.456233,229.0,33.839999999999996,2.62,44.0,24.0,
2020-05-25 08:00:00+00:00,36.688354,-6.12143,0.0,1.88,0.0,82.0,9.0,
2020-05-25 08:00:00+00:00,36.756004,-5.811652,0.0,1.88,0.0,86.0,14.0,
2020-05-25 08:00:00+00:00,36.756004,-5.811652,,,,,,
2020-05-25 08:00:00+00:00,38.189777,-5.019546,0.0,0.0,2.62,94.0,15.0,
2020-05-25 08:00:00+00:00,37.90402,-4.783399,0.0,13.16,2.62,74.0,33.0,
2020-05-25 08:00:00+00:00,37.8935,-4.771106,0.0,9.399999999999999,2.62,74.0,34.0,
2020-05-25 08:00:00+00:00,38.132746,-4.79991,0.0,0.0,0.0,94.0,16.0,
